"","klasifikasi","score","text"
"338","Netral",0," sia yg  nambah  riodeada bukti   bacotan ngawurkarena k jokowi su "
"339","Positif",1,"presiden jokowi taat konstitusi tolak wacana esiden  riode "
"340","Positif",1,"  rnah  menyesal memilih jokowi  periode dibandingkan nyesalan  memilih sby  riode"
"341","Negatif",-1,"pks khawatir wacana presiden  periode  hidukarena relawan jokowi  kuml covid "
"342","Negatif",-1," kasian kadrun hidumereka merana    alagi jokowi   riode  rah gilanya kadrun"
"343","Positif",1,"insyallah tan b keluarga am kroni indonesia  maju  kl  nambah riode  mencalonkan  "
"344","Netral",0,"  anies langsung ditetaan  esiden  riode gak  milu   keselama "
"345","Negatif",-1,"penipuan identitas politikyang diundang ra ngajian ibuibu jabodetabek didukung tra "
"346","Negatif",-1,"penipuan identitas politikyang diundang ra ngajian ibuibu jabodetabek didukung tra "
"347","Netral",0," an   pdb   ratio utang turun     tan   lu  "
"348","Netral",0,"   setuju dg statement rocky gerung yg inikalau jenuh   wacana  riode yg   "
"349","Netral",0,"dukung jokowi  riode "
"350","Positif",1," lo gak bahas janji litik k jokowi   riode akah terealisasi   lo jelasi "
"351","Netral",0,"   rnah tuliskan cm engka "
"352","Negatif",-1," jokowi  periodeindonesia ndah tanganrri  ganti  rrc"
"353","Positif",1,"ketua joman  urgensi acara nusantara bersatu   munculkan wacana  periode jokowi "
"354","Netral",0,"lantas jokowi  nyaman  relawan  parl parl   ling  jokowi nyaman akah wacan "
"355","Netral",0,"  riode kudu dirjuangkan"
"356","Netral",0,"   riode  jokowi"
"357","Negatif",-1,"  lanyalla silahkan jokowi  periode "
"358","Negatif",-1," lanyalla silahkan jokowi  periode tolakriode tolaknundaanmilu lanyalla"
"359","Netral",0," ganjar  kuat diback uong  k de mega lih ganjar bagus mega lih an damngi abowo "
"360","Netral",0," titik jenuh  rakyat yg terlilit ekonomi sulit  jokowi ong  lingkarannya   titik jen "
"361","Netral",0,"xin ping  riode rakyat cina   rlawananpak jokowi semoga  semaruk xin ping "
"362","Netral",0," tidaksedari  mnjd timses jokowi  riode rtama n  tetatidak"
"363","Netral",0," yg  nya clongingan sun yg  riode jokowi"
"364","Netral",0,"  kalo  mbahasan revisi uu rnjangan dr  jd  riode  ente  "
"365","Negatif",-1,"  esiden yg usang  th yg   tambahan   riode"
"366","Negatif",-1," lo mah berita yg blm  bener dircaya bro ko lo yg doain k "
"367","Negatif",-1,"  jokowi  kali kalah  sumbar ta kna   presiden  riode ya "
"368","Netral",0,"  uud hny  riode  k jokowi  maubayangkan  th  jokowi  soeharto st "
"369","Netral",0," bukti kalo jokowi layak  esiden  riode  "
"370","Positif",1,"  rakyat  jawa baratbangga  berharajokowi  riode"
"371","Negatif",-1,"presiden   rumah duka keluarga ferry mursyidan baldan mantan menteri atrbpn kabinet jokowi riod "
"372","Negatif",-1," iya kayak gerombolan kadrun dr riode rtama sami  hobynya demo jokowi suruh mundur sayang "
"373","Negatif",-1,"  biarkan k jokowi mengemban tugas  esiden utk riode yg   biar hutang  bs diselesaikan"
"374","Positif",1,"   harga bbm dinaikkan lagikan subsidi listrik dicabutkan nggalakan penerimaan pajak dar "
"375","Netral",0," allah sdh  jalan terbaik   kerc "
"376","Negatif",-2," rakyat  yg kau bioang bosan  kemimnan k jokowi  aja yg  merusak "
"377","Positif",1," rakyat indonesia rela dimn jokowi am ganjar  riode "
"378","Netral",0," yaudah gimana kalo  narasi anies  langsung diangkat  esiden  riode  "
"379","Netral",0,"   k jokowi    riode dulujatahnya wan god    esiden yg   "
"380","Negatif",-1," ya mending jokowi  riode  indonesia    "
"381","Netral",0," giliran narasi jokowi  riode da teriak giliran kebutuhan  ab suruh  riode kek anak "
"382","Netral",0," kuota  emang heh peak berdirilah dikaki mu  harga  raky "
"383","Negatif",-3," otak kalut sti kena stroke otak    mati akibat mikirin jokowi  riode n "
"384","Netral",0,"   kadrun membully jokowi dibilang pki dibilang mukanya "
"385","Netral",0," kerenkue hasil angunan kinerja jokowi  engkau nikmati jugasetiawarga s "
"386","Positif",2," maaf kalo  berfikir maju  konsisten  negara mobil esemka yg legend    iorit "
"387","Negatif",-2,"    akaljoko silahkan   jokowi  riode indonesia  milik kali "
"388","Positif",1," ngiritan biaya milu   setujuta sertijab esiden waes mentri dll  tetamahal  m "
"389","Netral",0," jokowi  riode"
"390","Positif",1,"    lumrah  aceh   sejarahnya caes pdip menang  acehpak sby non pdip  "
"391","Negatif",-1,"    ntar ngomongin  sendirimdhan   bak    dendam da "
"392","Netral",0,"  mendukung  riode buwat bak jokowi"
"393","Netral",0," pakde jokowi  riode  ta stikan esiden   nerus  ngganti"
"394","Negatif",-2,"  orang  bersih hatinya   mengerti isi berita   jokowi   esiden ri  riode"
"395","Netral",0,"  grombolan nya tawarin  riode oke oke   riode koru riode  koru "
"396","Netral",0,"walo aq dukung trs jokowi tsejak  aq trus ngetawain janji kamnye jokowi ttg langgaran ham berat "
"397","Netral",0,"  dukung sia ojojokowi  riode   "
"398","Netral",0,"  klo prabowo yg waes klo prabowo caes  deh riode    gak nya gagasan k "
"399","Negatif",-1," pemilu  harga mati  menunda  menyalahi uu  menambah ms jabatan mjd  periode  peng "
"400","Negatif",-1,"waahkeren l p jokowi andai   riode klik  lihat kontennya "
"401","Netral",0,"   kalianlah  bongak bodoh  menjilat rmen manis kebohong "
"402","Positif",2,"bener bikin suksessam  riode org  berubahyg tdk  diubah     "
"403","Netral",0," kacrut banget hahaha  mikiran ky gitu ya ntes aja jokowi  riode "
"404","Netral",0,"  "
"405","Negatif",-1," susah mas  ndukung anies   yg benci jokowi   riode  dana tau "
"406","Negatif",-2,"  ga normal gue mah ga sing bro emangnya lo ngakunya wara "
"407","Negatif",-1,"presiden jokowi   menolak usulan rnjangan  jabatan esiden  riodehal  disamikan "
"408","Negatif",-1," iya kebalikannya kl  tolak jokowi  riode krn melanggar konstitusi eh  bilangkalo rakyat "
"409","Negatif",-2," negri   maju yg hancur  otak  kiranmu   riode jokowi otak  "
"410","Positif",2," darida lesan  buang dana yg   utk rsatuan  kesatuan bangsa indonesia  bai "
"411","Negatif",-1," kadrunn sakit hati jokowi  riode   aja  cebong move on tolol"
"412","Negatif",-2,"kereta a rtama  sulawesi  kelar  era jokowi presiden   riode ngain aja ya  "
"413","Negatif",-1," ya sti mimn  lahjokowi  udh  riodeyg sti mimn barunya  pecatanngurus "
"414","Positif",1,"  beda skrg jokowi sdh tdk   riode "
"415","Netral",0," gobloknya rakyat indonesiadibohongi jokowi sami  riode"
"416","Netral",0," bagaimanan jokowi  esiden  terlih  milu    riode "
"417","Netral",0," jawabanya  siml  k jokowi  riode"
"418","Negatif",-1,"    menjabat  periode  pesimis ta  bak tidk  terlih kecuali "
"419","Netral",0," berndat a  bebas silahkan  menyebut  dorong jokowi  periode  bisaatau a aja "
"420","Negatif",-2," jokowi esiden  riodesementara elo  tukang fitnah yg berkela botakwkwk"
"421","Netral",0,"  rcaya jokowi  riode darida ginian sih"
"422","Netral",0," mumng    pdip golkar  berseberangan   kesemtan utk makzulkan jokow "
"423","Netral",0," jokowi   dilih warga aceh ta tetamenang  esiden  riode "
"424","Positif",1,"  suka terobosan k jokowi lanjutkan  riode"
"425","Negatif",-2,"rizal ramli blak blakan dendam jokowi  cemen am luhut otak  periode via "
"426","Netral",0," udah diem   lemr sendal k abowopak jokowi ogah  riode jatah k abowo  k ganjar"
"427","Netral",0,"  jokowi  esiden  riode anis   caes eciden doang belom    eciden muhehehe "
"428","Netral",0," dukung jokowi  riode"
"429","Netral",0,"presiden jokowi  periode "
"430","Netral",0,"  lih jokowi   riode"
"431","Negatif",-1,"   nyinyir bongfaktanya  kemarin  undangacara jokowi gerilya  riodeundangan "
"432","Netral",0," maunya milu tu   mpr  ambisi  riode"
"433","Netral",0," pemerintah mmg kliatan normal lu yg gk normal tinggal nunggu  "
"434","Netral",0," iya msh aman  r t     t mayan  modal  riode nanggung  jokowi habisin aja sisanya "
"435","Positif",1,"  jerman fokus kamnye aja sih  kabarnya   jokowi  menang  riode  kai ti "
"436","Negatif",-1,"imingiminga yg trjadi trhdnegeri   d dileskan    ulang  atasyahimingiming j "
"437","Positif",1,"  bangga  mobil iniasli buatan nkrihidu riode "
"438","Netral",0," semenjak jokowi jd esiden hidunya kaum bani kadrun bener  menyedihkan tiada  "
"439","Negatif",-2," faktanya terbalik   riode jokowi kpk  kebiri  dilemahkan nyadan dibatas "
"440","Netral",0," ambigujokowi dilarang  riode  anies mah   didukung"
"441","Netral",0,"menkominfo  rkembangan teknologi digital    terles  ra rintis keb "
"442","Positif",2," bonus  riode  rakyat coba hebatnya dimana klo emg  akui hebat  ngka "
"443","Netral",0," jokowi menang  riode   karna ngk  lihan   aja  yg sombong"
"444","Positif",2,"  sami  jokowi esiden yg terbaik  ra nggantinya  diragukan kemamannyaja "
"445","Positif",2," sami  jokowi esiden yg terbaik  ra nggantinya  diragukan kemamannyajangan ambil "
"446","Netral",0," nunggu jokowi  riode"
"447","Positif",2,"  sami  jokowi esiden yg terbaik  ra nggantinya  diragukan kemamannyajang "
"448","Negatif",-1," takut kehilangan job lu bong klo jokowi gk  riode lu  jd sales"
"449","Netral",0," den jokowi teriak  riodeden ganjar dukung nyaesbahhhh lllluuuullll"
"450","Negatif",-2,"  baca k suya ham   dibangun   jalan tol    njela "
"451","Netral",0," jokowi lanjutkan  riode"
"452","Positif",1,"relawan   partai bikin partai relawan jokowi  periode  "
"453","Positif",1," setuju k de jokowi  riode     utk indonesia hebat  kuat"
"454","Negatif",-3,"oii cebong goblok  tolol alasannya   harajokowi  riode  buta hukum buta undang undang ali "
"455","Negatif",-1,"    rioe lanyalla silahkan jokowi  periode "
"456","Netral",0," biar  hemat jokowi  periodelanjut  periode "
"457","Negatif",-1,"   hancur  riode "
"458","Netral",0," sya  jokowi   periode"
"459","Netral",0," sby tan bebanjokowi  sibuk dahal   tahunawal jabat riode  bi "
"460","Netral",0,"  sur narasi k presiden   den ndidikan indonesia  ra guru  tuman ban "
"461","Negatif",-1,"  yg menyuarakan jokowi  riode mreka teriak melanggar konstitusisaat  yg usul milihan esiden kem "
"462","Netral",0,"  yg tdk melanggar hukum klo   "
"463","Netral",0,"  k jokowi  riode  allah  tetak jokowi yg memimn negara "
"464","Netral",0,"anies baswedan vs jokowibanyak  akunakun litik  membandingkan  anies baswedan  jokowi me "
"465","Positif",1," aneh banget si  akun  membandingkan anies baswedan  jokowi jokowi "
"466","Positif",1," la melu emang  riode sukses "
"467","Negatif",-1," jokowi  udah berhasil  esiden  riode  gak  membandingkan ya"
"468","Negatif",-1," lanyalla silahkan jokowi  periode tolakriode "
"469","Negatif",-1,"  riode  lanyalla silahkan jokowi  periode "
"470","Negatif",-1,"    lanyalla silahkan jokowi  periode tolakriode "
"471","Negatif",-2,"takziyah  rumah duka ferry mursyidan jokowi dunia perlitikan indonesia kehilangan tokoh   presiden j "
"472","Positif",3," wuih keren jokowi disambut meriah  aceh tan imingiming sembako  uang ceban keren hidu "
"473","Negatif",-1,"  menuntut jokowi mundur  bersatu dukung jokowi  riode biar kadrun kebakaran jenggotkaum goblog"
"474","Netral",0,"redaksional narasi kulture  keren lan majlebkulture kesenian  kebudayaan nusantara  senjata m "
"475","Negatif",-1," udah seringggg  menolak  riodeyg nama "
"476","Negatif",-2,"san tersembunyi cari tensi jak  mengurangi subsidi harga hamr  kebutuhan    "
"477","Netral",0," yg namanya aturan  riode tetedi laksanaka "
"478","Netral",0,"  negara maritim maun negara agraris  rcuma kalo negara yg diwakili merintahan  be "
"479","Netral",0,"  eksrimen indonesia  riode rtama da "
"480","Negatif",-1," ty dewakerang  rkosa  hukum dasar   riode  dewakerang  mul "
"481","Netral",0," tasline  yo ngine k jkw  riode loh k tyo terserah wis nggantine   b "
"482","Netral",0," joko cm rlu  riode  atur  galaksi "
"483","Netral",0," dewalt butuh  riode biar  atur freert "
"484","Positif",1," sia ling beruntung  menikmati terlihnya anies hasil  pilkada    umat krist "
"485","Netral",0,"setunggal riode maleh k esiden  "
"486","Netral",0,"setunggal riode maleh k esiden  "
"487","Positif",1,"setunggal riode maleh k esiden hebat  manta nekad  "
"488","Positif",1," jokowi sdh memimn indonesia   riode   rakyat  diajukan lgi  maju  "
"489","Netral",0," presiden jokowi sdh memimn indonesia   riode  klo diajukan lgi  esiden utk riode  "
"490","Negatif",-1,"  kayak     menggoreng isu kalo pakde   riode"
"491","Netral",0,"ferry mursyidan baldan menteri atr periode  jokowi meninggal dunia turutberdukacita"
"492","Netral",0,"firasat  prabowo   k jokowi  presidenta  kncuma  riode"
"493","Netral",0,"  jokowi tau  krn  dilih rakyat  riode mknya kerja keras  rakyatnya dn emangnya "
"494","Netral",0,"   disekati jokowi  riode kena "
"495","Negatif",-1,"kasian mulut kuda nil  kayaknya stress berat untung dak sami stroke  ya kalo sami k jokowi  "
"496","Positif",1,"   bak presiden    taat terhadaraturan  dimana  uu kons "
"497","Negatif",-1,"mendesak  k mohon rhatian  kpu   berterimakasih  bak    menola "
"498","Netral",0,"  gw ojo bro gw riode  coblos klo skrang ekonomi ancur  fakta kta kgk bsa ngeles lgi k "
"499","Positif",1," saran relawan jokowi bikin acara jokowi  riode   saingin kaum kadrun  nkri croscek kekuatan les"
"500","Netral",0,"  lu anies timsukses jokowi riode  begitun nasdemmereka  sdh nya kartu as  "
